material,material_id,symmetry,shear_modulus,bulk_modulus,pugh_ratio
AlCo,mp-284,Cubic,125.345,178.781,0.7011091782683841
Al5Co2,mp-196,Hexagonal,84.53,124.136,0.6809467036153896
Al9Co2,mp-16488,Monoclinic,73.097,108.63,0.6728988308938598
Al3Cr,mp-867780,Tetragonal,89.423,106.002,0.8435972906171583
AlCr2,mp-1699,Tetragonal,103.155,184.35,0.5595606183889341
AlCu,mp-2500,Monoclinic,69.457,113.146,0.6138705743022289
AlCu3,mp-1008555,Cubic,62.408,138.447,0.45077177548086994
AlCu3,mp-12777,Cubic,65.111,138.352,0.47061842257430325
AlCu3,mp-12802,Orthorhombic,48.947,131.667,0.37174842595335206
Al2Cu,mp-12794,Tetragonal,61.511,100.047,0.6148210341139665
Al2Cu,mp-998,Tetragonal,49.8,110.885,0.44911394688190465
Al2Cu,mp-985806,Cubic,60.017,96.231,0.6236763620870615
Al3Cu,mp-985825,Tetragonal,24.119,64.105,0.37624210280009357
Al3Cu2,mp-10886,Trigonal,54.288,97.912,0.5544570634855788
AlFe,mp-985578,Hexagonal,7.788,90.233,0.08630988662684384
AlFe2,mp-985579,Hexagonal,71.939,147.959,0.48620901736291805
AlFe,mp-2658,Cubic,105.935,170.575,0.6210464605012458
AlFe3,mp-2018,Cubic,101.249,171.541,0.5902320727989226
AlFe2,mp-31184,Cubic,47.585,132.07,0.3603013553418642
Al3Fe,mp-984873,Hexagonal,57.1,120.937,0.47214665486989094
Al6Fe,mp-570001,Orthorhombic,60.542,105.831,0.5720630061135206
MnAl,mp-771,Tetragonal,91.397,128.984,0.7085917633194815
MnAl,mp-12067,Cubic,38.119,145.789,0.2614669145134407
Mn3Al,mp-973149,Cubic,100.109,179.795,0.5567952390222197
MnAl6,mp-173,Orthorhombic,70.68,110.79,0.6379637151367452
Mn4Al11,mp-2856,Triclinic,87.818,123.582,0.7106051043032157
AlNi2,mp-1025044,Trigonal,76.889,170.146,0.45190013282710145
AlNi,mp-1487,Cubic,81.641,157.34,0.5188826744629466
AlNi3,mp-672232,Cubic,73.765,177.562,0.4154323560221218
